Date,BTC_Close,ETH_Close
2017-08-17,4285.08,302.0
2017-08-18,4108.37,293.96
2017-08-19,4139.98,290.91
2017-08-20,4086.29,299.1
2017-08-21,4016.0,323.29
2017-08-22,4040.0,309.8
2017-08-23,4114.01,315.74
2017-08-24,4316.01,323.42
2017-08-25,4280.68,327.24
2017-08-26,4337.44,330.79
2017-08-27,4310.01,348.13
2017-08-28,4386.69,346.0
2017-08-29,4587.48,374.7
2017-08-30,4555.14,385.93
2017-08-31,4724.89,384.79
2017-09-01,4834.91,388.46
2017-09-02,4472.14,343.14
2017-09-03,4509.08,341.77
2017-09-04,4100.11,283.77
2017-09-05,4366.47,312.09
2017-09-06,4619.77,335.0
2017-09-07,4691.61,334.49
2017-09-08,4282.8,302.99
2017-09-09,4258.81,296.74
2017-09-10,4130.37,293.5
2017-09-11,4208.47,297.3
2017-09-12,4163.72,293.96
2017-09-13,3944.69,276.91
2017-09-14,3189.02,215.21
2017-09-15,3700.0,253.0
2017-09-16,3714.95,249.31
2017-09-17,3699.99,257.55
2017-09-18,4035.01,294.57
2017-09-19,3910.04,284.0
2017-09-20,3900.0,282.0
2017-09-21,3609.99,257.0
2017-09-22,3595.87,264.0
2017-09-23,3780.0,285.93
2017-09-24,3660.02,282.0
2017-09-25,3920.75,294.42
2017-09-26,3882.35,287.9
2017-09-27,4193.0,309.74
2017-09-28,4174.5,302.44
2017-09-29,4174.69,292.22
2017-09-30,4378.51,304.36
2017-10-01,4378.48,303.95
2017-10-02,4380.0,296.5
2017-10-03,4310.0,292.48
2017-10-04,4208.59,291.99
2017-10-05,4292.43,294.81
2017-10-06,4369.0,310.8
2017-10-07,4423.0,311.01
2017-10-08,4640.0,311.07
2017-10-09,4786.95,297.19
2017-10-10,4783.06,298.64
2017-10-11,4821.43,304.01
2017-10-12,5430.0,303.99
2017-10-13,5649.98,337.96
2017-10-14,5869.99,342.0
2017-10-15,5709.99,337.96
2017-10-16,5760.02,335.19
2017-10-17,5595.0,315.19
2017-10-18,5512.06,309.7
2017-10-19,5683.9,308.66
2017-10-20,6010.01,304.51
2017-10-21,6024.97,298.94
2017-10-22,5950.02,293.79
2017-10-23,5915.93,281.09
2017-10-24,5477.03,297.38
2017-10-25,5689.99,294.49
2017-10-26,5861.77,294.71
2017-10-27,5768.83,296.33
2017-10-28,5719.64,291.87
2017-10-29,6169.98,305.0
2017-10-30,6120.5,307.25
2017-10-31,6463.0,304.9
2017-11-01,6753.98,287.01
2017-11-02,7019.98,283.12
2017-11-03,7115.04,304.08
2017-11-04,7357.09,298.04
2017-11-05,7345.01,295.53
2017-11-06,6960.12,297.97
