,BTC,ETH,DXY
2017-08-17,4285.08,302.0,110.1673
2017-08-18,4108.37,293.96,110.041
2017-08-21,4016.0,323.29,109.7349
2017-08-22,4040.0,309.8,109.8386
2017-08-23,4114.01,315.74,109.8095
2017-08-24,4316.01,323.42,109.7524
2017-08-25,4280.68,327.24,109.3415
2017-08-28,4386.69,346.0,109.1815
2017-08-29,4587.48,374.7,109.0946
2017-08-30,4555.14,385.93,109.4052
2017-08-31,4724.89,384.79,109.3686
2017-09-01,4834.91,388.46,109.0504
2017-09-04,4100.11,283.77,
2017-09-05,4366.47,312.09,108.8664
2017-09-06,4619.77,335.0,108.4897
2017-09-07,4691.61,334.49,107.9224
2017-09-08,4282.8,302.99,107.808
2017-09-11,4208.47,297.3,108.153
2017-09-12,4163.72,293.96,108.3239
2017-09-13,3944.69,276.91,108.6628
2017-09-14,3189.02,215.21,108.618
2017-09-15,3700.0,253.0,108.3147
2017-09-18,4035.01,294.57,108.6401
2017-09-19,3910.04,284.0,108.6142
2017-09-20,3900.0,282.0,108.4329
2017-09-21,3609.99,257.0,108.9267
2017-09-22,3595.87,264.0,108.7542
2017-09-25,3920.75,294.42,109.3302
2017-09-26,3882.35,287.9,109.7769
2017-09-27,4193.0,309.74,110.0722
2017-09-28,4174.5,302.44,110.2415
2017-09-29,4174.69,292.22,110.0867
2017-10-02,4380.0,296.5,110.3686
2017-10-03,4310.0,292.48,110.3281
2017-10-04,4208.59,291.99,110.2425
2017-10-05,4292.43,294.81,110.5823
2017-10-06,4369.0,310.8,110.7841
2017-10-09,4786.95,297.19,
2017-10-10,4783.06,298.64,110.3034
2017-10-11,4821.43,304.01,110.3037
2017-10-12,5430.0,303.99,110.3152
2017-10-13,5649.98,337.96,110.2669
2017-10-16,5760.02,335.19,110.5432
2017-10-17,5595.0,315.19,110.9141
2017-10-18,5512.06,309.7,110.7214
2017-10-19,5683.9,308.66,110.4577
2017-10-20,6010.01,304.51,111.0375
2017-10-23,5915.93,281.09,111.2134
2017-10-24,5477.03,297.38,111.4027
2017-10-25,5689.99,294.49,111.3904
2017-10-26,5861.77,294.71,111.6418
2017-10-27,5768.83,296.33,112.1495
2017-10-30,6120.5,307.25,111.901
2017-10-31,6463.0,304.9,111.8052
2017-11-01,6753.98,287.01,111.7942
2017-11-02,7019.98,283.12,111.5474
2017-11-03,7115.04,304.08,111.9383
2017-11-06,6960.12,297.97,111.7197
2017-11-07,7064.04,291.78,111.9446
2017-11-08,7303.0,303.02,111.6935
2017-11-09,7079.99,317.87,111.5626
2017-11-10,6506.98,293.5,
2017-11-13,6465.99,312.99,111.7833
2017-11-14,6574.99,335.61,111.5097
2017-11-15,7240.06,331.33,111.4809
2017-11-16,7864.5,331.49,111.2568
2017-11-17,7699.19,331.23,111.0016
2017-11-20,8212.0,367.42,111.2599
2017-11-21,8119.51,362.12,110.9828
2017-11-22,8205.92,380.65,110.5632
2017-11-23,8019.99,405.0,
2017-11-24,8138.0,469.0,110.0253
2017-11-27,9650.0,472.31,110.1136
2017-11-28,9896.8,466.17,110.3018
2017-11-29,9687.88,421.7,110.3265
2017-11-30,9838.96,427.43,110.4648
2017-12-01,10782.99,457.51,110.1413
2017-12-04,11579.0,466.67,110.397
2017-12-05,11699.99,452.26,110.4905
2017-12-06,13550.05,411.01,110.8711
2017-12-07,16599.0,406.33,111.0178
2017-12-08,15880.0,442.56,111.2273
2017-12-11,16587.97,508.7,111.0827
2017-12-12,16349.99,620.0,111.5214
2017-12-13,16033.29,683.99,111.2759
2017-12-14,16334.98,679.76,111.0893
2017-12-15,17539.83,674.95,111.1286
2017-12-18,18856.25,784.0,110.9086
2017-12-19,17295.2,798.0,111.1255
2017-12-20,16488.98,790.21,110.8361
2017-12-21,15492.64,782.41,110.8786
2017-12-22,13326.61,635.97,111.0997
2017-12-25,13699.34,714.95,
2017-12-26,15689.01,750.0,110.9758
2017-12-27,15459.99,739.89,110.8553
2017-12-28,14182.11,707.89,110.5154
2017-12-29,14378.9,733.99,110.0783
2018-01-01,13380.0,754.99,
